,ISO_1,LangName_1,ISO_2,LangName_2,Similarity,Robustness
374,afr,Afrikaans,amh,Amharic,0.626,Medium
375,afr,Afrikaans,arb,Standard Arabic,0.313,High
377,afr,Afrikaans,ary,Moroccan Arabic,0.085,Medium
378,afr,Afrikaans,arz,Egyptian Arabic,0.258,Medium
379,afr,Afrikaans,asm,Assamese,0.998,High
387,afr,Afrikaans,bel,Belarusian,3.298,Medium
388,afr,Afrikaans,ben,Bengali,1.217,High
393,afr,Afrikaans,bul,Bulgarian,2.505,High
395,afr,Afrikaans,cat,Catalan,2.721,High
397,afr,Afrikaans,ceb,Cebuano,2.029,Medium
398,afr,Afrikaans,ces,Czech,2.548,High
406,afr,Afrikaans,ckb,Central Kurdish,0.126,Medium
407,afr,Afrikaans,cmn,Mandarin Chinese,0.12,High
413,afr,Afrikaans,cym,Welsh,2.595,Medium
414,afr,Afrikaans,dan,Danish,6.235,High
415,afr,Afrikaans,deu,German,6.184,High
420,afr,Afrikaans,ell,Modern Greek,1.235,High
421,afr,Afrikaans,eng,English,3.483,High
424,afr,Afrikaans,eus,Basque,2.228,High
431,afr,Afrikaans,fin,Finnish,1.559,High
432,afr,Afrikaans,fra,French,2.879,High
441,afr,Afrikaans,gle,Irish,2.474,Medium
442,afr,Afrikaans,glg,Galician,2.944,High
446,afr,Afrikaans,guj,Gujarati,1.455,High
450,afr,Afrikaans,heb,Hebrew,0.629,High
453,afr,Afrikaans,hin,Hindi,1.236,High
454,afr,Afrikaans,hrv,Croatian,2.227,High
456,afr,Afrikaans,hun,Hungarian,2.733,High
457,afr,Afrikaans,hye,Armenian,1.2,Medium
458,afr,Afrikaans,ibo,Igbo,0.337,Low
460,afr,Afrikaans,ind,Indonesian,1.395,High
461,afr,Afrikaans,isl,Icelandic,2.8,High
462,afr,Afrikaans,ita,Italian,3.333,High
465,afr,Afrikaans,jav,Javanese,0.497,Low
466,afr,Afrikaans,jpn,Japanese,1.367,High
470,afr,Afrikaans,kan,Kannada,0.671,High
472,afr,Afrikaans,kat,Georgian,1.463,Medium
473,afr,Afrikaans,kaz,Kazakh,1.723,Medium
475,afr,Afrikaans,khm,Khmer,0.457,Medium
478,afr,Afrikaans,kir,Kirghiz,1.614,Medium
483,afr,Afrikaans,kor,Korean,0.615,High
490,afr,Afrikaans,lao,Lao,0.344,Medium
496,afr,Afrikaans,lit,Lithuanian,2.563,High
502,afr,Afrikaans,lug,Ganda,0.211,Medium
503,afr,Afrikaans,luo,Luo,0.822,Medium
506,afr,Afrikaans,mal,Malayalam,0.815,High
507,afr,Afrikaans,mar,Marathi,0.59,Medium
513,afr,Afrikaans,mkd,Macedonian,3.064,Medium
514,afr,Afrikaans,mlt,Maltese,3.186,Medium
515,afr,Afrikaans,mni,Manipuri,0.614,Medium
521,afr,Afrikaans,mya,Burmese,0.515,Medium
530,afr,Afrikaans,nld,Dutch,8.62,High
532,afr,Afrikaans,nno,Norwegian Nynorsk,5.828,Medium
533,afr,Afrikaans,nob,Norwegian Bokmål,5.926,High
540,afr,Afrikaans,pan,Panjabi,1.452,High
547,afr,Afrikaans,pol,Polish,2.135,High
548,afr,Afrikaans,por,Portuguese,3.618,High
554,afr,Afrikaans,ron,Romanian,2.51,High
557,afr,Afrikaans,rus,Russian,2.286,High
567,afr,Afrikaans,slk,Slovak,2.036,High
568,afr,Afrikaans,slv,Slovenian,2.375,High
572,afr,Afrikaans,snd,Sindhi,0.441,Low
573,afr,Afrikaans,som,Somali,0.96,Low
575,afr,Afrikaans,spa,Spanish,2.598,High
583,afr,Afrikaans,swe,Swedish,5.806,High
586,afr,Afrikaans,tam,Tamil,0.452,High
588,afr,Afrikaans,tel,Telugu,0.667,High
590,afr,Afrikaans,tgk,Tajik,1.929,Medium
591,afr,Afrikaans,tgl,Tagalog,2.282,Medium
592,afr,Afrikaans,tha,Thai,0.528,High
599,afr,Afrikaans,tur,Turkish,2.156,High
604,afr,Afrikaans,ukr,Ukrainian,2.964,High
605,afr,Afrikaans,urd,Urdu,1.286,High
609,afr,Afrikaans,vie,Vietnamese,0.675,High
620,afr,Afrikaans,yor,Yoruba,0.366,Medium
623,afr,Afrikaans,zsm,Standard Malay,1.572,High
624,afr,Afrikaans,zul,Zulu,0.666,Medium
878,amh,Amharic,arb,Standard Arabic,0.397,Medium
880,amh,Amharic,ary,Moroccan Arabic,0.2,Low
881,amh,Amharic,arz,Egyptian Arabic,0.243,Medium
882,amh,Amharic,asm,Assamese,0.465,Medium
889,amh,Amharic,bel,Belarusian,0.233,Medium
890,amh,Amharic,ben,Bengali,0.385,Medium
893,amh,Amharic,bul,Bulgarian,0.129,Medium
894,amh,Amharic,cat,Catalan,0.311,Medium
895,amh,Amharic,ceb,Cebuano,0.216,Medium
896,amh,Amharic,ces,Czech,0.398,Medium
902,amh,Amharic,cmn,Mandarin Chinese,0.034,Medium
907,amh,Amharic,cym,Welsh,0.302,Medium
908,amh,Amharic,dan,Danish,0.313,Medium
909,amh,Amharic,deu,German,0.294,Medium
912,amh,Amharic,ell,Modern Greek,0.266,Medium
913,amh,Amharic,eng,English,0.144,Medium
915,amh,Amharic,eus,Basque,0.165,Medium
919,amh,Amharic,fin,Finnish,0.048,Medium
920,amh,Amharic,fra,French,0.19,Medium
926,amh,Amharic,gle,Irish,0.137,Medium
927,amh,Amharic,glg,Galician,0.215,Medium
931,amh,Amharic,guj,Gujarati,0.569,Medium
934,amh,Amharic,heb,Hebrew,0.246,Medium
937,amh,Amharic,hin,Hindi,0.377,Medium
938,amh,Amharic,hrv,Croatian,0.113,Medium
940,amh,Amharic,hun,Hungarian,0.259,Medium
941,amh,Amharic,hye,Armenian,0.27,Medium
